---,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,f-12,f-12,f-12,f-12,f-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,f-12,f-11,f-11,f-11,f-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,o-4,o-4;o-3,,,,,,,,,,,o-4;o-3,o-4,o-4,o-4,o-4,o-4,o-4;o-3;o-2,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,f-12,f-11,f-11,f-11,f-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,o-4,o-4,o-4,o-4;o-3;o-2,,,,,,,,f-4,f-4,o-4;o-3;o-2,o-4,o-4,o-4,o-4,o-4,o-4,o-4;o-3;o-2,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,f-12,f-12,f-11,f-12,f-12,,,,,,,,,,,f1,f1,,,,,,,,,,,,,,,,o-4,o-4,o-4,o-4,o-4;o-3;o-2,f-4,f-4,f-4,f-4,f-4,f-4,f-4,f-4,o-4;o-3;o-2,o-4,o-4,o-4,o-4,o-4,o-4,o-4;o-3;o-2,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,f-12,f-12,f-12,,,,,,,,,f0,f1,f1,f1,f1,f1,f1,,,,,,,,,,,,,,o-4;o-3,o-4,o-4,o-4,o-4;o-3,f-4,f-4,f-4,f-4,f-4,f-4,f-4,f-4,f-4,o-4;o-3;o-2,o-4;o-3;o-2,o-4;o-3;o-2,o-4;o-3,o-4;o-3,o-4;o-3,o-4;o-3,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,f-12,,,,,,,,f0,f0,f0,f0,f1,f1,o2;o3,o2,f1,f1,,,,,,,,,,,,,,o-4,o-4,o-4,o-4;o-3,f-4,f-4,o-4;o-3,o-4;o-3,o-4;o-3;o-2,f-4,f-4,f-4,f-4,f-4,f-4,f-4,f-4,f-4,f-4,f-4,f-4,f-4,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,f-12,f-12,,,,,,,,f0,f0,f0,f0,f0,f0,f1,f1,f1,f2,,,,,,,,,,,,,,o-4;o-3;o-2,o-4;o-3;o-2,o-4;o-3,f-4,f-4,f-4,o-4;o-3;o-2,o-4,o-4,o-4;o-3;o-2,f-4,f-4,f-4,f-4,f-4,f-4,f-4,f-4,o-4;o-3,o-4;o-3,,,,,,,,,,,,,,,,,,,,,
10,,,f0,f0,f0,f0,,,,,,,f-12,,,,,,,,,f0,f0,o1,f0,f0,f0,f0,f0,f2;o1,f2,f2,,,,,,,,,,,,,f-4,f-4,f-4,f-4,f-4,f-4,o-4;o-3;o-2,o-4,o-4,o-4;o-3;o-2,f-4,f-4,f-4,f-4,f-4,f-4,f-4,o-4;o-3,o-4,o-4,o-4;o-3;o-2,,,,,,,,,,,,,,,,,,,,
