---,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f7,f7,f7,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f0,,,,,,,,,,,f7,f7,f7,f7,f7;o6,,,,,,,,,,,,
5,,,,,,,f6,f6,f6,,,,,,,,,,,,,,,,,,,,,,f0,f0,f0,f0,,,,,f3,,,,f6,f7;o6;o5,o7;o8,o7;o6;o8;o9,f7;o6,,,,,,,,,,,,
6,,,,,,f6,f6,f6,f6,f6,f6,f6,,,,,,,,,,,,,,,,,,f0,f1,f1,f0,f0,f0,f0,,f2,,f4,,f5,f5,f7;o6;o5,f7;o6;o5,f7;o6;o5,,,,,,,,,,,,,
7,,,,,,f6,f6,f6;o7;o8,f6,f6;o5,f5,f5,f5,f5,f5,,,,,,,,f4,,,,,,,f0,f1,f1,f1,f0,f0,f0,f1,,,,f5,f5,f5,f5,f5,f5,f5,f5,,,,,,,,,,,
8,,,,,,,f6,f6;o5,f6;o5;o7,f6;o5,f4,f4,f5,f5,f5,f5,,,,f4,f4,f4,,f4,,,,,,f0,f1,f1,f0,f0,f0,,,,,,f5,f5,f5,f5,f5,f5,f5,f5,f4,,,,,,,,,,
9,,,,,,,f6,f6;o5,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,,,,,,f4,,,,,,f0,f0,f0,,,,,,,f5,o5;o6,o5;o6,o5;o6;o7,f5,f5,f5,f5,f5,f4,f4,f4,,,,,,,,
10,,,,,,,f6;o5,f6;o5,f4,f4,f4,f4,f4,f4,f4,f4,f4,,,,,,,,f4,,,,,,,,,,,,,,,f5,f5,f5,f5;o4;o3;o2,f5;o4;o3;o2,f5;o4;o3;o2,f5;o4;o3;o2,f5;o4;o3;o2,f4;o3;o2,f4,f4,f4,,,,,,,,
11,,,,,,,,f4,f4,f4,f4,f4,f4,f4,f4,f4,,,,,,,,f4,,,,,,,,,,,,,,,,f5,f5,f5,f5;o4;o3;o2,f5;o4;o3;o2,f8;o2,f7;o2,f7;o2,f4;o3;o2,f4;o3;o2,f4,f4,f4,f4,,,,,,
12,,,,,,,,f4,f4,f4,f4,f4,f5;o6;o7,f5,f5,,,,,,,f4,,f4,,f4,,,,,,,,,,,,o3,f5;o4;o3;o2,f5;o4;o3;o2,f5;o4;o3;o2,f5;o4;o3;o2,f5;o4;o3;o2,f9;o2,f9;o2,f9;o3;o2,f9;o2,f6;o2,f4;o3;o2,f4;o3;o2,f4,f4,f4,f4,,,,,
13,,,,,,,,f4,f4,f4,f4,f4,f5;o6;o7,f5,f5,,,,,,f7;o6,f5,f4,f4,f4,f5,f7;o6,,,,,,,,,,f4,o3,o3;o2,o2,o2,f5;o4;o3;o2,o2,f9;o2,f9;o3;o2,o3;o2,o3;o2,f9;o2,f6;o2,f4;o3;o2,f4,f4,f4,f4,f5;o4;o3,f5,,,
