---,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f3,f3,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,o2;o3;o4,f2,f2,f2,f2,f3,f3,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,f2,f2,f2,o2;o3,f2,f2,f2,f3,f3,f3,f3,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,f3,f3,f3,f3,f2,f2,f2,f4;o3;o2,f4;o3;o2,f3,f3,f3;o2,f3;o2,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,f2,f2,f3,f3,f3,o3;o2;o4,f2,f4;o3;o2,f4;o3;o2,f4;o3;o2,f4;o3;o2,f4;o3;o2,f3;o2,f3;o2,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,f3,f2,f2,f2,f3,f3;o2,o3;o2;o4,f1,f1,,,f1,f1,f1,f1,f1,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,f-4,f-4,,,,,,f4;o3,f4;o3,f2,f2,f2,f1,f1,f1,f1,f1,f1,f1,o2,f1,f1,f1,f1,,,,,,f-3,f-3,f-3,f-3,f-3,,,,,,,,,
10,,,,,,,,,,,,f-4,f-3,f-4,,,,,,f4,f4;o3,f2,f2,f2,f2,f1,f1,f1,f1,f2,o2;o3,f1,f1,f1,f1,f1,,,,,f-3,f-3,f-3,f-3,f-3,f-3,f-3,,,,,,,,
11,,,,,,,,,,,f-4,f-3,f-3,f-3,f-4,,,,,,,,,,,,,,f2,f2,f2,f1,f1,f1,f1,,,,,f-3,f-3,f-3,f-3,f-2,f-3,f-3,f-3,,,,,,,,
12,,,,,,,,,,f-4,f-3,f-3,f-4,f-4,,,,,,,,,,,,,,,,,,f0,,f1,f1,,,,f-3,f-3,f-2,f-2,f-2,f-2,f-2,f-3,f-3,,,,,,,,
13,,,,,,,,,,f-4,f-4,f-4,,,,,,,,,,,f0,,,,,,,,,f0,,,,,,,f-2,f-2,f-2,f-2,f-1,f-1,f-2,f-3,f-3,f-3,f-3,,,,,,
14,,,,,,,,,,,f-3,,,,,,,,,,,f-1,f0,f0,f0,f-1,f-1,,,,,f0,,,,,,,f-2,f-2,f-2,f-1,f-1,f0,f-1,f-2;o-3,f-3,f-3,f-3,f-3,f-2,,,,
15,,,,f-2,f-2,f-2,f-2,,,f-3,,,,,,,,,,,f-1,f0,f0,f0,f0,f-1,,,,,,f0,f0,,,,,,f-2,f-2,f-1,f-1,f0,f-1,f-1;o-2,f-2;o-3,f-3,f-3,f-3,o-2;o-1;o0,f-2,f-2,f-2,,
16,,,f-2,f-2,f-2,f-2,f-2,f-2,f-2,f-2,f-2,f-1,,,,,,,,,,f0,f0,f0,f-1,f-1,,,,,f0,,,,,,,,f-2,f-1,f-1,f-1,f-1,f-1,f-2,f-3,f-3,f-3,f-2,f-2,o-2;o-1,f-2,f-2,,
